stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1144:1,1144,Harmony Northbound @ Grand Ridge,,43.935668,-78.847728,,,0,,,1
1145:1,1145,Harmony Southbound @ Adelaide,,43.91292,-78.83798,,,0,,,1
1146:1,1146,Harmony Southbound @ Eastbourne,,43.90900100000001,-78.836235,,,0,,,1
1147:1,1147,Harmony Southbound @ Regent,,43.907603,-78.835614,,,0,,,1
1148:1,1148,Harmony Southbound @ King,,43.904711,-78.83438599999998,,,0,,,1
1149:1,1149,Harmony Southbound @ Palace,,43.90330500000001,-78.833634,,,0,,,1
1150:1,1150,Harmony Southbound @ Hoskin,,43.901176,-78.83266999999998,,,0,,,1
1151:1,1151,Southbound @ 188 Harmony,,43.899357,-78.831854,,,0,,,2
1152:1,1152,Harmony Southbound @ Florell,,43.896955,-78.830782,,,0,,,1
1153:1,1153,Harmony Northbound @ Old Harmony,,43.89775,-78.830938,,,0,,,1
1154:1,1154,Harmony Northbound @ Hoskin,,43.899752,-78.831838,,,0,,,1
1155:1,1155,Harmony Northbound @ Palace,,43.90378813,-78.833706,,,0,,,2
1156:1,1156,King Westbound @ Harmony,,43.90424800000001,-78.835009,,,0,,,2
1157:1,1157,Bond Northbound @ Riverside,,43.90426723,-78.837534,,,0,,,1
1158:1,1158,Bond Westbound @ Claymore (East side stop),,43.90453,-78.84238999999998,,,0,,,1
1159:1,1159,Bond Westbound @ Claymore (West side stop),,43.904135,-78.844005,,,0,,,1
1160:1,1160,Bond Westbound @ Cadillac,,43.90335675,-78.847111,,,0,,,1
1161:1,1161,Bond Westbound @ Patricia,,43.902664,-78.84988199999998,,,0,,,1
1162:1,1162,Bond Westbound @ Oshawa Boulevard,,43.901254,-78.85265699999998,,,0,,,1
1163:1,1163,Bond Westbound @ Ritson,,43.900548,-78.855176,,,0,,,1
1164:1,1164,Bond Westbound @ Mary,,43.899252,-78.86069,,,0,,,1
1165:1,1165,Bond Westbound @ Simcoe,,43.89857640000001,-78.8638232,,,0,,,2
1166:1,1166,Bond Westbound @ Centre,,43.8980427,-78.86599339999998,,,0,,,1
1167:1,1167,Bond Westbound @ Arena,,43.8971812,-78.8700233,,,0,,,2
1169:1,1169,Bond Westbound @ Park,,43.896215,-78.87463099999998,,,0,,,1
1171:1,1171,Bond Westbound @ Gibbons,,43.895268,-78.878156,,,0,,,1
1172:1,1172,Bond Westbound @ Stevenson,,43.89388328,-78.884232,,,0,,,1
1173:1,1173,King Westbound @ Waverly,,43.892156,-78.888154,,,0,,,1
1174:1,1174,King Westbound @ Thornton,,43.89066900000001,-78.894721,,,0,,,1
1175:1,1175,King Eastbound @ Thornton,,43.8910876,-78.8920772,,,0,,,1
1176:1,1176,King Eastbound @ Waverly,,43.891958,-78.88811099999998,,,0,,,1
1177:1,1177,King Eastbound @ Stevenson,,43.89334800000001,-78.88199,,,0,,,1
1178:1,1178,King Eastbound @ Gibbons,,43.89406180000001,-78.8787275,,,0,,,1
1181:1,1181,King Eastbound @ Warren,,43.895479,-78.872558,,,0,,,2
1183:1,1183,King Eastbound @ Midtown,,43.896359,-78.868644,,,0,,,2
1185:1,1185,King Eastbound @ Mary,,43.898339,-78.860061,,,0,,,2
1186:1,1186,King Eastbound @ Drew,,43.899141,-78.856595,,,0,,,2
